releasedDate,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,artist,key,explicit,genre
1920,0.6312,0.5158,0.3542,0.2160,-12.6540,0.0830,113.2269,['Mamie Smith'],5,0,21st century classical
1921,0.8621,0.4322,0.3372,0.2052,-16.8117,0.0790,102.4254,"[""Screamin' Jay Hawkins""]",5,0,432hz
1922,0.8289,0.5756,0.2548,0.2567,-20.8401,0.4644,100.0331,['Mamie Smith'],0,0,8-bit
1923,0.9572,0.5773,0.3717,0.2275,-14.1292,0.0939,114.0107,['Oscar Velazquez'],2,0,[]
1924,0.9402,0.5499,0.5817,0.2352,-14.2313,0.0921,120.6896,['Mixe'],10,1,a cappella
1925,0.9627,0.5749,0.4202,0.2372,-14.1654,0.1117,115.4798,['Mamie Smith & Her Jazz Hounds'],5,0,abstract
1926,0.6664,0.5969,0.3361,0.2320,-18.4874,0.4779,109.5710,['Mamie Smith'],5,0,abstract beats
1927,0.9158,0.6559,0.3210,0.1774,-15.2353,0.2619,112.6637,['Mamie Smith & Her Jazz Hounds'],9,0,abstract hip hop
1928,0.9391,0.5349,0.4910,0.1747,-17.1314,0.1586,106.7491,['Francisco Canaro'],8,0,abstract idm
1929,0.6010,0.6478,0.2154,0.2360,-16.5331,0.4905,110.9267,['Meetya'],8,0,accordeon
1930,0.9356,0.5197,0.3519,0.2206,-12.8235,0.1202,109.9248,['Dorville'],6,0,accordion
1931,0.8332,0.5949,0.2219,0.2272,-16.5095,0.4528,108.9744,['Francisco Canaro'],10,0,acid house
1932,0.7734,0.6022,0.1555,0.2188,-16.4596,0.4199,110.4780,['Ka Koula'],1,0,acid jazz
1933,0.8909,0.5701,0.1824,0.2097,-12.9729,0.0909,112.5965,['Justrock'],1,0,acid rock
1934,0.8885,0.5292,0.2762,0.2127,-14.7551,0.1021,115.4055,['Takis Nikolaou'],2,0,acid techno
1935,0.7795,0.5550,0.2237,0.2296,-15.4058,0.3550,110.7226,['Aggeliki Karagianni'],2,0,acid trance
1936,0.6020,0.6234,0.1185,0.2136,-19.1232,0.6271,108.3930,['Giorgos Katsaros'],11,0,acousmatic
1937,0.8655,0.5426,0.3287,0.2253,-13.1209,0.0858,115.1677,['Francisco Canaro'],1,0,acoustic blues
1938,0.9136,0.4805,0.3764,0.2360,-14.3080,0.0953,111.6443,['Giorgos Katsaros'],2,0,acoustic chill
1939,0.9090,0.5137,0.2816,0.2409,-13.8470,0.1287,113.3242,['Amalia Vaka'],5,0,acoustic guitar cover
1940,0.8465,0.5255,0.3229,0.2625,-13.6124,0.2458,108.8721,['Ron van der Kraan'],9,0,acoustic pop
1941,0.8947,0.4811,0.4427,0.2016,-15.7282,0.0918,107.8467,"[""Vasílis Besíris 'Tourkovasílis'""]",2,0,acoustic punk
1942,0.8537,0.4650,0.3938,0.2124,-15.0300,0.0840,106.0054,['Tr0ma'],1,0,acoustic rock
1943,0.9031,0.4551,0.4101,0.2398,-13.6030,0.1056,106.1710,['Ron van der Kraan'],10,0,action rock
1944,0.9082,0.5026,0.4509,0.2369,-14.5603,0.1725,105.9203,['Oscar Velazquez'],2,0,adoracao
1945,0.7114,0.5179,0.2749,0.2033,-16.9280,0.3017,108.2569,['Jodoli'],1,0,adoracion
1946,0.9206,0.4151,0.4867,0.2105,-16.8975,0.0885,103.1214,['Athanasía Alexandropoúlou'],8,0,adult standards
1947,0.9157,0.4721,0.3512,0.2234,-14.4148,0.1002,108.9729,['Dick Haymes'],0,0,adventista
1948,0.9229,0.4627,0.3619,0.2188,-15.5172,0.1608,107.6842,['ST'],0,1,afghan pop
1949,0.9071,0.4440,0.2988,0.2096,-15.4907,0.1034,108.8756,['Manolis Karapiperis'],8,0,afghan traditional
1950,0.8228,0.5290,0.2117,0.2249,-14.4009,0.2505,110.5002,['Félix Mayol'],1,0,african gospel
1951,0.9003,0.4614,0.3033,0.2195,-15.7250,0.1074,109.5699,['Meetya'],11,0,african percussion
1952,0.8755,0.4560,0.2839,0.2339,-15.7949,0.1378,108.2384,['Maurice Chevalier'],8,0,african reggae
1953,0.8917,0.4408,0.3146,0.2214,-15.4143,0.0926,110.0081,['David Daniells'],11,0,african rock
1954,0.8674,0.4604,0.2913,0.2160,-15.3430,0.1032,108.5619,"[""The Swingin' Bachelors""]",11,0,african-american classical
1955,0.8492,0.4864,0.2297,0.2240,-14.2620,0.0980,110.5811,['Ron van der Kraan'],8,0,afrikaans
1956,0.8235,0.4893,0.2321,0.1840,-14.1798,0.0629,111.8802,"[""The Swingin' Bachelors""]",7,0,afro dancehall
1957,0.7938,0.5037,0.2038,0.1863,-14.2716,0.0676,112.5289,['Ron van der Kraan'],0,0,afro house
1958,0.7774,0.4781,0.1899,0.2026,-14.2200,0.0576,112.5117,['Meetya'],1,0,afro psych
1959,0.7849,0.4798,0.1838,0.1925,-14.4134,0.0644,111.3883,['biex'],11,0,afro-funk
1960,0.7683,0.4821,0.1817,0.2078,-13.8060,0.0650,112.3546,"['Mamie Smith', 'The Harlem Trio']",7,0,afrobeat
1961,0.7581,0.4877,0.2654,0.2076,-14.2694,0.0593,111.6491,['Esther Lekain'],7,0,afrofuturism
1962,0.7259,0.4907,0.1712,0.2018,-13.2739,0.0565,114.6860,['Mamie Smith & Her Jazz Hounds'],7,0,afrofuturismo brasileiro
